org,sponsorable,url,repo,stargazers,eco
sindresorhus,sindresorhus,https://github.com/sponsors/sindresorhus,ora,7905,js
sindresorhus,sindresorhus,https://github.com/sponsors/sindresorhus,string-length,128,js
sindresorhus,sindresorhus,https://github.com/sponsors/sindresorhus,find-up,479,js
sindresorhus,sindresorhus,https://github.com/sponsors/sindresorhus,read-pkg,140,js
sindresorhus,sindresorhus,https://github.com/sponsors/sindresorhus,copy-text-to-clipboard,831,js
typescript-eslint,typescript-eslint,https://opencollective.com/typescript-eslint,typescript-eslint,12145,js
ajv-validator,epoberezkin,https://github.com/sponsors/epoberezkin,ajv,11528,js
mhart,mhart,https://github.com/sponsors/mhart,aws4,625,js
chalk,sindresorhus,https://github.com/sponsors/sindresorhus,chalk,19048,js
eslint,eslint,https://github.com/sponsors/eslint,eslint,21153,js
prettier,prettier,https://opencollective.com/prettier,prettier,43687,js
NaturalIntelligence,NaturalIntelligence,https://github.com/sponsors/naturalintelligence,fast-xml-parser,1621,js
facebook,jest,https://opencollective.com/jest,jest,39988,js
isaacs,isaacs,https://github.com/sponsors/isaacs,node-mkdirp,123,js
nock,nock,https://github.com/sponsors/nock,nock,11674,js
node-fetch,node-fetch,https://github.com/sponsors/node-fetch,node-fetch,7837,js
terkelg,terkelg,https://github.com/sponsors/terkelg,prompts,7454,js
steveukx,steveukx,https://github.com/sponsors/steveukx,git-js,2812,js
mdx-js,unifiedjs,https://github.com/sponsors/unifiedjs,mdx,13728,js
mdx-js,unifiedjs,https://github.com/sponsors/unifiedjs,eslint-mdx,145,js
axios,axios,https://github.com/sponsors/axios,axios,95457,js
twbs,twbs,https://github.com/sponsors/twbs,bootstrap,159237,js
jonschlinkert,jonschlinkert,https://github.com/sponsors/jonschlinkert,gray-matter,2715,js
popperjs,floating-ui,https://github.com/sponsors/floating-ui,react-popper,2308,js
popperjs,FezVrasta,https://github.com/sponsors/fezvrasta,popper-core,22687,js
TypeStrong,blakeembrey,https://github.com/sponsors/blakeembrey,ts-node,10764,js
TypeStrong,johnnyreilly,https://github.com/sponsors/johnnyreilly,ts-loader,3267,js
TypeStrong,piotr-oles,https://github.com/sponsors/piotr-oles,fork-ts-checker-webpack-plugin,1709,js
jsx-eslint,jsx-eslint,https://github.com/sponsors/jsx-eslint,eslint-plugin-react,7979,js
http-party,thornjad,https://github.com/sponsors/thornjad,http-server,12059,js
rollup,rollup,https://opencollective.com/rollup,plugins,2739,js
rollup,rollup,https://opencollective.com/rollup,rollup,22092,js
chaijs,chaijs,https://opencollective.com/chaijs,chai,7680,js
mochajs,mochajs,https://opencollective.com/mochajs,mocha,21604,js
remy,remy,https://github.com/sponsors/remy,nodemon,24371,js
mysticatea,mysticatea,https://github.com/sponsors/mysticatea,npm-run-all,4952,js
mysticatea,mysticatea,https://github.com/sponsors/mysticatea,eslint-plugin-node,883,js
sinonjs,sinonjs,https://github.com/sponsors/sinonjs,sinon,9083,js
sveltejs,svelte,https://opencollective.com/svelte,svelte,61782,js
vuejs,yyx990803,https://github.com/sponsors/yyx990803,core,32279,js
babel,babel,https://github.com/sponsors/babel,babel-loader,4649,js
babel,babel,https://github.com/sponsors/babel,ember-cli-babel,150,js
babel,babel,https://github.com/sponsors/babel,babel-eslint,2969,js
jantimon,html-webpack-plugin,https://opencollective.com/html-webpack-plugin,html-webpack-plugin,10238,js
webpack,webpack,https://opencollective.com/webpack,webpack,61694,js
webpack,webpack,https://opencollective.com/webpack,webpack-cli,2394,js
webpack,webpack,https://opencollective.com/webpack,webpack-dev-server,7440,js
es-shims,ljharb,https://github.com/sponsors/ljharb,Array.prototype.flat,29,js
import-js,ljharb,https://github.com/sponsors/ljharb,eslint-plugin-import,4261,js
gajus,gajus,https://github.com/sponsors/gajus,eslint-plugin-jsdoc,717,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-cli-htmlbars,71,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-cli,3309,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-cli-uglify,22,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-disable-prototype-extensions,6,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-export-application-global,15,js
ember-cli,emberjs,https://github.com/sponsors/emberjs,ember-load-initializers,14,js
