ecosystem,project,weight,sponsorable
java,log4j,3,https://github.com/sponsors/garydgregory
java,log4j,3,https://github.com/sponsors/jvz
java,log4j,3,https://github.com/sponsors/rgoers
java,log4j,3,https://github.com/sponsors/vy
java,log4j,3,https://github.com/sponsors/carterkozak
java,logback,3,https://github.com/sponsors/qos-ch
js,Vue,3,https://opencollective.com/vuejs
php,Symfony,3,https://github.com/sponsors/fabpot
php,Laravel,3,https://github.com/sponsors/taylorotwell
py,django,3,https://github.com/sponsors/django
py,aiohttp,3,https://github.com/sponsors/asvetlov
py,aiohttp,3,https://github.com/sponsors/webknjaz
py,Celery,3,https://github.com/sponsors/celery
py,FastAPI,3,https://github.com/sponsors/tiangolo
py,Flask,3,https://github.com/sponsors/pallets
go,Echo,2,https://github.com/sponsors/labstack
go,Iris,2,https://github.com/sponsors/kataras
js,Cordova,2,https://github.com/sponsors/NiklasMerz
js,Cordova,2,https://github.com/sponsors/jcesarmobile
js,Electron,2,https://opencollective.com/electron
js,Svelte,2,https://opencollective.com/svelte
py,Falcon,2,https://opencollective.com/falcon
py,Quart,2,https://github.com/sponsors/pallets
py,Sanic,2,https://opencollective.com/sanic-org
rb,Resque,2,https://github.com/sponsors/iloveitaly
js,Ember,1,https://github.com/sponsors/emberjs
js,Koa,1,https://opencollective.com/koajs
py,Starlette,1,https://github.com/sponsors/encode
